essay_id_comp,prompt_name,task
000A58BC095E,Community service,Independent
000BAD50D026,Distance learning,Independent
000E6DE9E817,Grades for extracurricular activities,Independent
0016926B079C,Distance learning,Independent
00203C45FC55,Distance learning,Independent
00299B378633,Grades for extracurricular activities,Independent
0029F4D19C3F,Grades for extracurricular activities,Independent
003FDC7E6F20,Mandatory extracurricular activities,Independent
0045BE2791A2,Grades for extracurricular activities,Independent
004AC288D833,Community service,Independent
004EA492DA04,Community service,Independent
0054DD9BDFC7,Cell phones at school,Independent
0056F3D261D5,Distance learning,Independent
005D28D3FEC2,Grades for extracurricular activities,Independent
005DA83BD607,Summer projects,Independent
008015604AA0,Distance learning,Independent
0083B82A9C6F,Cell phones at school,Independent
0085F7F83D83,Grades for extracurricular activities,Independent
00898D9FB10A,Distance learning,Independent
008C191EF21C,Summer projects,Independent
008C457C8E0B,Cell phones at school,Independent
00941DB98302,Mandatory extracurricular activities,Independent
0094474956AD,Community service,Independent
009F4E9310CB,Seeking multiple opinions,Independent
00A4CB36E006,Seeking multiple opinions,Independent
00A551B2B4B2,Mandatory extracurricular activities,Independent
00B0190508AD,Cell phones at school,Independent
00C2C86DCC23,Mandatory extracurricular activities,Independent
00C315EF49C7,Grades for extracurricular activities,Independent
00C843E757F4,Community service,Independent
00D304153840,Seeking multiple opinions,Independent
00E3F86E3E6A,Community service,Independent
00EE23F071DE,Seeking multiple opinions,Independent
00F11421BE7F,Community service,Independent
00F477C0C28F,Grades for extracurricular activities,Independent
00FF0A430A56,Community service,Independent
010A9CFB3108,Cell phones at school,Independent
01267F2F5B01,Grades for extracurricular activities,Independent
012CB3D46662,Summer projects,Independent
013692FA66AF,Community service,Independent
01374C8A76BC,Seeking multiple opinions,Independent
0147365CB20D,Grades for extracurricular activities,Independent
01495BF80A2A,Distance learning,Independent
014BF1790D44,Grades for extracurricular activities,Independent
015480E09FE1,Mandatory extracurricular activities,Independent
0158970BC5D2,Summer projects,Independent
015F4D9DE71D,Community service,Independent
016451AABDF0,Grades for extracurricular activities,Independent
016A403802E8,Grades for extracurricular activities,Independent
016B35EDC7B8,Summer projects,Independent
017FB36B3B0C,Mandatory extracurricular activities,Independent
018311715B91,Community service,Independent
018A7B9DA61B,Grades for extracurricular activities,Independent
0191274639A4,Seeking multiple opinions,Independent
019B73E2A599,Seeking multiple opinions,Independent
019BDC9DF7CD,Distance learning,Independent
01A53D28E44A,Cell phones at school,Independent
01ACD1326679,Cell phones at school,Independent
01B3A57AB13D,Distance learning,Independent
01B44DA627B6,Grades for extracurricular activities,Independent
01BBB8075DC9,Community service,Independent
01BCD3BFBAD0,Cell phones at school,Independent
01C53183305A,Distance learning,Independent
01D017390DBC,Community service,Independent
01D04F3DF6CA,Grades for extracurricular activities,Independent
01DB053153E0,Mandatory extracurricular activities,Independent
01DF3961CF90,Grades for extracurricular activities,Independent
01E81DCE4F59,Cell phones at school,Independent
01F69867D1BE,Summer projects,Independent
01FC4BCFD7CB,Distance learning,Independent
01FE696E9CC2,Community service,Independent
0201B7877AD3,Distance learning,Independent
0214F87B86C3,Distance learning,Independent
021823AF0384,Distance learning,Independent
021B23C3C2C6,Distance learning,Independent
021B2E55384C,Summer projects,Independent
0222CB9AEFFC,Cell phones at school,Independent
0222E19C41BC,Mandatory extracurricular activities,Independent
022585D2819F,Community service,Independent
0228C92DFDF2,Distance learning,Independent
022DD0BE5A38,Seeking multiple opinions,Independent
022EE73C4244,Summer projects,Independent
0230E2A9E656,Mandatory extracurricular activities,Independent
02322AA38631,Grades for extracurricular activities,Independent
0242719E9969,Grades for extracurricular activities,Independent
025453135C64,Grades for extracurricular activities,Independent
0257D9E42247,Grades for extracurricular activities,Independent
02580BFD0105,Community service,Independent
026D034610CE,Summer projects,Independent
026DB1116D4D,Grades for extracurricular activities,Independent
028E0CD5DACE,Seeking multiple opinions,Independent
02A3E737A10F,Mandatory extracurricular activities,Independent
02AEBAE6EC47,Seeking multiple opinions,Independent
02B12E0E4025,Cell phones at school,Independent
02B6F6D24B6F,Summer projects,Independent
02C172EEAFE4,Cell phones at school,Independent
02C49FD99F7D,Distance learning,Independent
02CDFA415350,Grades for extracurricular activities,Independent
02D500B937EB,Cell phones at school,Independent
02DE2BC0EC95,Cell phones at school,Independent
02DE71CCBB4B,Community service,Independent
02EB601F0107,Distance learning,Independent
02EE98C9DB32,Distance learning,Independent
02F4114B1F63,Summer projects,Independent
03004B5AD2CC,Community service,Independent
03036B87A396,Seeking multiple opinions,Independent
0309F61A6F1A,Distance learning,Independent
030A70B9F194,Grades for extracurricular activities,Independent
030BBFC7D7F9,Distance learning,Independent
0316F6288791,Distance learning,Independent
0322EFDA120C,Distance learning,Independent
0333283809F6,Cell phones at school,Independent
03401B71D0F2,Distance learning,Independent
034A4394335C,Community service,Independent
034F335E1B82,Seeking multiple opinions,Independent
03503E5155AE,Distance learning,Independent
0358E1A5CC75,Distance learning,Independent
