provider=gpt model=gpt-5.4-mini-2026-03-17
targets=69573 done=0 prior_technical_failures=0 todo=69573
progress 500/69573 {'ok': 500, 'invalid': 0, 'tech_fail': 0}
progress 1000/69573 {'ok': 1000, 'invalid': 0, 'tech_fail': 0}
progress 1500/69573 {'ok': 1500, 'invalid': 0, 'tech_fail': 0}
progress 2000/69573 {'ok': 2000, 'invalid': 0, 'tech_fail': 0}
progress 2500/69573 {'ok': 2500, 'invalid': 0, 'tech_fail': 0}
progress 3000/69573 {'ok': 3000, 'invalid': 0, 'tech_fail': 0}
progress 3500/69573 {'ok': 3500, 'invalid': 0, 'tech_fail': 0}
progress 4000/69573 {'ok': 4000, 'invalid': 0, 'tech_fail': 0}
progress 4500/69573 {'ok': 4500, 'invalid': 0, 'tech_fail': 0}
progress 5000/69573 {'ok': 5000, 'invalid': 0, 'tech_fail': 0}
progress 5500/69573 {'ok': 5500, 'invalid': 0, 'tech_fail': 0}
progress 6000/69573 {'ok': 6000, 'invalid': 0, 'tech_fail': 0}
progress 6500/69573 {'ok': 6500, 'invalid': 0, 'tech_fail': 0}
progress 7000/69573 {'ok': 7000, 'invalid': 0, 'tech_fail': 0}
progress 7500/69573 {'ok': 7500, 'invalid': 0, 'tech_fail': 0}
progress 8000/69573 {'ok': 8000, 'invalid': 0, 'tech_fail': 0}
progress 8500/69573 {'ok': 8500, 'invalid': 0, 'tech_fail': 0}
progress 9000/69573 {'ok': 9000, 'invalid': 0, 'tech_fail': 0}
progress 9500/69573 {'ok': 9500, 'invalid': 0, 'tech_fail': 0}
progress 10000/69573 {'ok': 10000, 'invalid': 0, 'tech_fail': 0}
progress 10500/69573 {'ok': 10500, 'invalid': 0, 'tech_fail': 0}
progress 11000/69573 {'ok': 11000, 'invalid': 0, 'tech_fail': 0}
progress 11500/69573 {'ok': 11500, 'invalid': 0, 'tech_fail': 0}
progress 12000/69573 {'ok': 12000, 'invalid': 0, 'tech_fail': 0}
progress 12500/69573 {'ok': 12500, 'invalid': 0, 'tech_fail': 0}
progress 13000/69573 {'ok': 13000, 'invalid': 0, 'tech_fail': 0}
progress 13500/69573 {'ok': 13500, 'invalid': 0, 'tech_fail': 0}
progress 14000/69573 {'ok': 14000, 'invalid': 0, 'tech_fail': 0}
progress 14500/69573 {'ok': 14500, 'invalid': 0, 'tech_fail': 0}
progress 15000/69573 {'ok': 15000, 'invalid': 0, 'tech_fail': 0}
progress 15500/69573 {'ok': 15500, 'invalid': 0, 'tech_fail': 0}
progress 16000/69573 {'ok': 16000, 'invalid': 0, 'tech_fail': 0}
progress 16500/69573 {'ok': 16500, 'invalid': 0, 'tech_fail': 0}
