comment_id,nc_male,nc_female,nc_LGBTQ,nc_christian,nc_muslim,nc_other_religions,nc_black,nc_white
59856,0,0,0,0,0,0,0,0
239579,1,0,0,0,0,0,0,0
239612,0,1,0,0,0,0,0,0
239616,0,1,0,0,0,0,0,0
239644,0,0,0,0,0,0,0,0
239669,0,0,0,0,0,0,0,0
239727,0,0,0,0,0,0,0,0
239744,0,0,0,0,0,0,0,0
239787,0,0,0,0,0,0,0,0
239793,0,0,0,0,0,0,0,0
239852,0,0,0,0,0,0,0,0
239868,0,0,0,0,0,0,0,0
239917,0,0,0,0,0,0,0,0
239921,0,0,0,0,0,0,0,0
239959,0,0,0,0,0,0,0,0
240028,0,1,0,0,0,0,0,0
240038,0,0,0,0,0,0,0,0
240045,0,0,0,0,0,0,0,0
240059,0,0,0,0,0,0,0,0
240296,0,0,0,0,0,0,0,0
240493,0,0,0,0,0,0,0,0
240528,0,0,0,0,0,0,0,0
240561,0,0,0,0,0,0,0,0
240581,1,0,0,0,0,0,0,0
240700,0,0,0,0,0,0,0,0
240717,1,0,0,0,0,0,0,0
240727,0,0,0,0,0,0,0,0
240799,0,0,0,0,0,0,0,0
240845,0,0,0,0,0,0,0,0
240855,0,1,0,0,0,0,0,0
240867,0,1,0,0,0,0,0,0
240879,0,0,0,0,0,0,0,0
240922,0,0,0,0,0,0,0,0
240940,0,1,0,0,0,0,0,0
240947,0,0,0,0,0,0,0,0
240963,0,0,0,0,0,0,0,0
240978,1,0,0,0,0,0,0,0
240982,0,0,0,0,0,0,0,0
240985,0,1,0,0,0,0,0,0
240996,0,0,0,0,0,0,0,0
241005,0,0,0,0,0,0,0,0
241010,0,0,0,0,0,0,0,0
241017,0,0,0,0,0,0,0,0
241023,0,0,0,0,0,0,0,0
241043,0,0,0,0,0,0,0,0
241048,0,0,0,0,0,0,0,0
241074,0,0,0,0,0,0,0,0
241097,0,0,0,0,0,0,1,1
241105,0,0,0,0,0,0,0,0
241121,0,1,0,0,0,0,0,0
241129,0,0,0,0,0,0,0,0
241132,0,0,0,0,0,0,0,1
241140,0,0,0,0,0,0,0,0
241200,0,0,0,0,0,0,0,0
241207,0,0,0,0,0,0,0,0
241222,0,0,0,0,0,0,0,0
241234,0,1,0,0,0,0,0,0
241235,0,0,0,0,0,0,0,0
241237,0,0,0,0,0,0,0,0
241240,0,1,0,0,0,0,0,0
241241,0,0,0,0,0,0,0,0
241267,0,0,0,0,0,0,0,0
241283,0,0,0,0,0,0,0,0
241296,0,1,0,0,0,0,0,0
241307,0,0,0,0,0,0,0,1
241366,0,0,0,0,0,0,0,0
241635,0,0,0,0,0,0,0,1
241658,1,1,0,0,0,0,0,0
241668,0,1,0,0,0,0,1,0
241678,0,0,0,0,0,0,0,0
241679,0,0,0,0,0,0,0,0
241707,0,0,0,0,0,0,0,0
241724,0,0,0,0,0,0,0,0
241730,0,0,0,0,0,0,0,0
241742,0,0,0,0,0,0,0,0
241748,0,0,0,0,0,0,0,0
