comment_id,s_category,status
59856,9,ok
239579,9,ok
239592,8,ok
239593,0,ok
239607,9,ok
239612,9,ok
239616,5,ok
239632,4,ok
239644,4,ok
239653,1,ok
239669,4,ok
239676,2,ok
239727,2,ok
239744,1,ok
239752,0,ok
239756,4,ok
239778,6,ok
239787,1,ok
239793,6,ok
239808,4,ok
239821,1,ok
239845,0,ok
239852,5,ok
239853,4,ok
239868,1,ok
239893,4,ok
239904,9,ok
239907,5,ok
239917,1,ok
239921,7,ok
239959,3,ok
239968,0,ok
239980,2,ok
240022,1,ok
240028,4,ok
240035,0,ok
240038,2,ok
240042,6,ok
240043,2,ok
240045,0,ok
240059,8,ok
240290,3,ok
240296,3,ok
240303,0,ok
240312,8,ok
240318,4,ok
240322,2,ok
240335,3,ok
240338,8,ok
240343,5,ok
240389,1,ok
240392,0,ok
240400,9,ok
240401,0,ok
240405,6,ok
240416,0,ok
240419,6,ok
240423,6,ok
240454,3,ok
240493,2,ok
240499,2,ok
240511,7,ok
240513,8,ok
240517,1,ok
240528,0,ok
240561,2,ok
240574,5,ok
240581,2,ok
240588,1,ok
240598,7,ok
240613,3,ok
240616,5,ok
240627,4,ok
240654,0,ok
240673,3,ok
240674,0,ok
240700,1,ok
240716,8,ok
240717,2,ok
240727,7,ok
240730,1,ok
240733,8,ok
240770,4,ok
240799,0,ok
240807,5,ok
240813,9,ok
240817,1,ok
240818,0,ok
240832,7,ok
240845,6,ok
240848,5,ok
240855,5,ok
240867,0,ok
240878,8,ok
240879,9,ok
240880,5,ok
240893,0,ok
240898,3,ok
240900,5,ok
240922,7,ok
240926,1,ok
240940,2,ok
240947,9,ok
240963,6,ok
240969,5,ok
240972,7,ok
240978,3,ok
240982,8,ok
240985,6,ok
240989,5,ok
240996,0,ok
241001,2,ok
241005,7,ok
241010,0,ok
241017,0,ok
241023,2,ok
241043,6,ok
241047,2,ok
241048,9,ok
241052,3,ok
241063,0,ok
241071,5,ok
241074,5,ok
241077,5,ok
241079,2,ok
241085,8,ok
241097,6,ok
241102,8,ok
241103,3,ok
241105,9,ok
241110,3,ok
241121,8,ok
241129,2,ok
241130,5,ok
241132,6,ok
241137,8,ok
241140,0,ok
241143,2,ok
241148,4,ok
241163,0,ok
241185,2,ok
241200,0,ok
241207,7,ok
241213,4,ok
241222,8,ok
241234,2,ok
241235,0,ok
241237,8,ok
241238,0,ok
241239,5,ok
241240,8,ok
241241,5,ok
241242,4,ok
241243,7,ok
241244,4,ok
241267,6,ok
241275,7,ok
241282,9,ok
241283,4,ok
241294,7,ok
241296,3,ok
241307,1,ok
241321,2,ok
241330,1,ok
241331,1,ok
241349,0,ok
241366,2,ok
241395,3,ok
241633,8,ok
241635,5,ok
241655,4,ok
241658,6,ok
241668,4,ok
241678,4,ok
241679,2,ok
241683,0,ok
241699,7,ok
241707,3,ok
241712,9,ok
241724,2,ok
241730,1,ok
241735,5,ok
241739,7,ok
241740,5,ok
241742,6,ok
241748,4,ok
241752,1,ok
241778,9,ok
241800,0,ok
241805,6,ok
241816,3,ok
241820,0,ok
241856,0,ok
241862,0,ok
241893,0,ok
241900,0,ok
241902,4,ok
241914,0,ok
241942,0,ok
241960,2,ok
241972,3,ok
241984,0,ok
241988,2,ok
241999,4,ok
242004,7,ok
242012,2,ok
242016,1,ok
242019,0,ok
242250,0,ok
242251,7,ok
242252,4,ok
242253,0,ok
242284,0,ok
242286,1,ok
242289,6,ok
242300,0,ok
242305,2,ok
242313,3,ok
242326,7,ok
242328,0,ok
242329,4,ok
242336,1,ok
242337,3,ok
242344,7,ok
242346,8,ok
242358,0,ok
242361,8,ok
242365,5,ok
242369,3,ok
242372,1,ok
242393,0,ok
242394,3,ok
242401,1,ok
242408,4,ok
242412,2,ok
242413,1,ok
242429,4,ok
242445,0,ok
242454,6,ok
242455,6,ok
242458,1,ok
242464,4,ok
242470,2,ok
242474,2,ok
242475,7,ok
242476,1,ok
242485,1,ok
242494,1,ok
242495,8,ok
242498,8,ok
242510,7,ok
242519,1,ok
242520,5,ok
242525,7,ok
242528,8,ok
242531,7,ok
242539,2,ok
242546,2,ok
242548,4,ok
242549,6,ok
242557,6,ok
242560,6,ok
242561,7,ok
242562,6,ok
242575,0,ok
242582,5,ok
242583,7,ok
242588,2,ok
242589,1,ok
242590,6,ok
242599,7,ok
242603,6,ok
242607,3,ok
242610,9,ok
242612,3,ok
242615,6,ok
242617,2,ok
242623,8,ok
242629,2,ok
242630,0,ok
242633,9,ok
242636,3,ok
242647,0,ok
242650,0,ok
242651,8,ok
242652,7,ok
242657,6,ok
242659,8,ok
242665,9,ok
242669,9,ok
242671,0,ok
242691,5,ok
242692,6,ok
242696,0,ok
242697,7,ok
242700,5,ok
242705,9,ok
242707,4,ok
242720,2,ok
242729,4,ok
