n,alternative,pi,rejection_rate,n_replicates,n_permutations,alpha,mean_usable_strata_in_sample,mean_n_ell_in_sample
500,null,0.0,0.046,500,999,0.05,21.1,47.6
500,weak,0.05,0.068,500,999,0.05,21.1,48.0
500,moderate,0.1,0.104,500,999,0.05,21.0,47.8
500,strong,0.2,0.15,500,999,0.05,21.0,47.5
1000,null,0.0,0.044,500,999,0.05,30.4,95.6
1000,weak,0.05,0.07,500,999,0.05,30.6,95.8
1000,moderate,0.1,0.146,500,999,0.05,31.1,97.1
1000,strong,0.2,0.282,500,999,0.05,30.5,95.7
2000,null,0.0,0.038,500,999,0.05,40.6,190.8
2000,weak,0.05,0.098,500,999,0.05,40.7,191.7
2000,moderate,0.1,0.228,500,999,0.05,40.7,190.6
2000,strong,0.2,0.548,500,999,0.05,40.5,190.8
4000,null,0.0,0.036,500,999,0.05,49.3,383.8
4000,weak,0.05,0.172,500,999,0.05,49.2,382.6
4000,moderate,0.1,0.374,500,999,0.05,49.3,383.6
4000,strong,0.2,0.884,500,999,0.05,49.3,383.6
8000,null,0.0,0.042,500,999,0.05,55.6,766.3
8000,weak,0.05,0.3,500,999,0.05,55.7,765.5
8000,moderate,0.1,0.752,500,999,0.05,55.6,764.9
8000,strong,0.2,0.99,500,999,0.05,55.6,765.2
10000,null,0.0,0.064,500,999,0.05,57.4,956.9
10000,weak,0.05,0.348,500,999,0.05,57.4,956.4
10000,moderate,0.1,0.84,500,999,0.05,57.2,958.1
10000,strong,0.2,1.0,500,999,0.05,57.2,956.1
12000,null,0.0,0.032,500,999,0.05,58.5,1149.3
12000,weak,0.05,0.444,500,999,0.05,58.4,1149.8
12000,moderate,0.1,0.914,500,999,0.05,58.3,1149.9
12000,strong,0.2,1.0,500,999,0.05,58.5,1151.1
16000,null,0.0,0.052,500,999,0.05,59.9,1532.2
16000,weak,0.05,0.538,500,999,0.05,59.8,1531.5
16000,moderate,0.1,0.984,500,999,0.05,59.8,1533.4
16000,strong,0.2,1.0,500,999,0.05,59.8,1530.6
23334,null,0.0,0.052,500,999,0.05,61.0,2235.0
23334,weak,0.05,0.83,500,999,0.05,61.0,2235.0
23334,moderate,0.1,1.0,500,999,0.05,61.0,2235.0
23334,strong,0.2,1.0,500,999,0.05,61.0,2235.0
