n,alternative,pi,rejection_rate,n_replicates,n_permutations,alpha,mean_usable_strata_in_sample,mean_n_ell_in_sample
2000,null,0.0,0.062,500,999,0.05,24.1,183.7
2000,weak,0.05,0.102,500,999,0.05,24.1,182.1
2000,moderate,0.1,0.318,500,999,0.05,24.1,183.8
2000,strong,0.2,0.66,500,999,0.05,24.1,182.8
4000,null,0.0,0.062,500,999,0.05,27.8,366.2
4000,weak,0.05,0.218,500,999,0.05,27.8,365.7
4000,moderate,0.1,0.54,500,999,0.05,27.7,365.7
4000,strong,0.2,0.948,500,999,0.05,27.8,366.2
6000,null,0.0,0.044,500,999,0.05,29.5,547.9
6000,weak,0.05,0.306,500,999,0.05,29.4,548.4
6000,moderate,0.1,0.726,500,999,0.05,29.5,548.9
6000,strong,0.2,0.992,500,999,0.05,29.4,549.7
8000,null,0.0,0.046,500,999,0.05,30.3,731.2
8000,weak,0.05,0.39,500,999,0.05,30.4,730.6
8000,moderate,0.1,0.892,500,999,0.05,30.4,731.9
8000,strong,0.2,1.0,500,999,0.05,30.4,731.8
10000,null,0.0,0.048,500,999,0.05,30.8,914.5
10000,weak,0.05,0.526,500,999,0.05,30.8,915.0
10000,moderate,0.1,0.946,500,999,0.05,30.9,914.0
10000,strong,0.2,1.0,500,999,0.05,30.8,914.1
11360,null,0.0,0.044,500,999,0.05,31.0,1039.0
11360,weak,0.05,0.608,500,999,0.05,31.0,1039.0
11360,moderate,0.1,0.97,500,999,0.05,31.0,1039.0
11360,strong,0.2,1.0,500,999,0.05,31.0,1039.0
