essay_id_comp,n_effectiveness_elements,quality_index
000A58BC095E,9,1.0
000BAD50D026,7,0.857143
000E6DE9E817,12,0.833333
0016926B079C,11,0.909091
00203C45FC55,13,1.769231
00299B378633,12,1.0
0029F4D19C3F,9,1.0
003FDC7E6F20,11,1.0
0045BE2791A2,4,0.75
004AC288D833,16,0.875
004EA492DA04,8,1.25
0054DD9BDFC7,7,1.0
0056F3D261D5,12,2.0
005D28D3FEC2,6,1.5
005DA83BD607,12,1.0
008015604AA0,14,1.214286
0083B82A9C6F,8,1.0
0085F7F83D83,4,1.5
00898D9FB10A,7,1.0
008C191EF21C,9,1.111111
008C457C8E0B,6,0.833333
00941DB98302,8,1.0
0094474956AD,16,1.375
009F4E9310CB,6,1.0
00A4CB36E006,9,1.333333
00A551B2B4B2,13,1.923077
00B0190508AD,7,0.857143
00C2C86DCC23,9,0.777778
00C315EF49C7,12,1.5
00C843E757F4,5,0.8
00D304153840,12,1.666667
00E3F86E3E6A,6,0.5
00EE23F071DE,9,1.0
00F11421BE7F,8,1.0
00F477C0C28F,7,1.714286
00FF0A430A56,10,1.0
010A9CFB3108,12,1.0
01267F2F5B01,9,1.444444
012CB3D46662,9,1.0
013692FA66AF,7,1.285714
01374C8A76BC,9,1.0
0147365CB20D,9,0.888889
01495BF80A2A,17,1.0
014BF1790D44,8,1.375
015480E09FE1,9,1.0
0158970BC5D2,9,1.666667
015F4D9DE71D,8,1.625
016451AABDF0,11,1.0
016A403802E8,2,0.0
016B35EDC7B8,8,1.0
017FB36B3B0C,12,1.333333
018311715B91,9,1.111111
018A7B9DA61B,12,1.0
0191274639A4,9,1.0
019B73E2A599,13,1.153846
019BDC9DF7CD,13,1.0
01A53D28E44A,9,1.0
01ACD1326679,8,1.0
01B3A57AB13D,16,1.9375
01B44DA627B6,4,1.25
01BBB8075DC9,6,1.0
01BCD3BFBAD0,9,1.111111
01C53183305A,9,0.666667
01D017390DBC,13,1.230769
01D04F3DF6CA,4,1.25
01DB053153E0,12,1.166667
01DF3961CF90,9,1.0
01E81DCE4F59,12,1.0
01F69867D1BE,7,1.857143
01FC4BCFD7CB,7,1.0
01FE696E9CC2,8,1.375
0201B7877AD3,8,1.0
0214F87B86C3,12,1.166667
021823AF0384,15,1.266667
021B23C3C2C6,12,1.333333
021B2E55384C,11,1.272727
0222CB9AEFFC,13,1.0
0222E19C41BC,12,1.416667
022585D2819F,8,1.125
0228C92DFDF2,15,1.4
022DD0BE5A38,9,1.0
022EE73C4244,10,1.7
0230E2A9E656,12,1.333333
02322AA38631,8,1.375
0242719E9969,6,0.833333
025453135C64,5,1.0
0257D9E42247,9,1.0
02580BFD0105,5,1.0
026D034610CE,9,1.777778
026DB1116D4D,8,1.0
028E0CD5DACE,9,1.444444
02A3E737A10F,7,1.0
02AEBAE6EC47,9,1.111111
02B12E0E4025,10,1.0
02B6F6D24B6F,9,1.222222
02C172EEAFE4,4,1.0
02C49FD99F7D,12,1.5
02CDFA415350,9,1.0
02D500B937EB,5,1.0
02DE2BC0EC95,9,1.0
02DE71CCBB4B,9,1.666667
02EB601F0107,16,1.125
02EE98C9DB32,12,1.0
02F4114B1F63,12,1.833333
03004B5AD2CC,7,1.285714
03036B87A396,10,1.5
0309F61A6F1A,15,1.333333
030A70B9F194,9,1.0
030BBFC7D7F9,11,1.363636
0316F6288791,8,1.0
0322EFDA120C,18,1.055556
0333283809F6,6,1.0
03401B71D0F2,13,1.230769
034A4394335C,17,1.0
034F335E1B82,12,1.5
03503E5155AE,9,1.0
0358E1A5CC75,10,1.1
03656D51096B,15,1.2
03739A8DFD62,9,1.666667
037A3E847693,15,0.933333
03803A910311,9,0.888889
038480498E5A,9,1.111111
038BD0772A14,11,1.181818
039228E4B779,9,1.0
0398942EFF6E,8,1.0
03990A4F67B4,6,1.0
039E3E7329B2,19,1.052632
03A12A02CE62,5,1.2
03A2687FCE27,8,1.375
03B3EDA0F9D7,10,1.3
03B55D3B695B,10,1.0
03B874232827,13,1.0
03BA5E41C5E4,14,1.642857
03BAAAE93383,12,1.083333
03BC86ED932A,18,1.444444
03C562EF629C,10,1.6
03C96AF26E75,9,1.0
03CFA8202072,10,1.6
03D0A8C34AFB,5,1.0
03D134875F1C,14,1.857143
03F52910C24F,11,1.545455
03F56A5C191A,4,1.0
03FDC60BE33B,9,1.222222
04042B33F470,3,1.0
0408B654C48C,6,1.333333
0411473808DC,12,1.0
