essay_id_comp,qbin,lbin
000A58BC095E,0,1
000BAD50D026,0,1
000E6DE9E817,0,0
0016926B079C,0,0
00203C45FC55,2,0
00299B378633,0,1
0029F4D19C3F,0,1
003FDC7E6F20,0,0
0045BE2791A2,0,1
004AC288D833,0,0
004EA492DA04,1,1
0054DD9BDFC7,0,1
0056F3D261D5,2,0
005D28D3FEC2,2,1
005DA83BD607,0,1
008015604AA0,0,0
0083B82A9C6F,0,1
0085F7F83D83,2,0
00898D9FB10A,0,0
008C191EF21C,1,0
008C457C8E0B,0,0
00941DB98302,0,1
0094474956AD,1,1
009F4E9310CB,0,1
00A4CB36E006,2,1
00A551B2B4B2,2,0
00B0190508AD,0,1
00C2C86DCC23,0,0
00C315EF49C7,2,0
00C843E757F4,0,1
00D304153840,2,0
00E3F86E3E6A,0,0
00EE23F071DE,0,0
00F11421BE7F,0,1
00F477C0C28F,2,0
00FF0A430A56,0,1
010A9CFB3108,0,1
01267F2F5B01,2,0
012CB3D46662,0,0
013692FA66AF,2,1
01374C8A76BC,0,0
0147365CB20D,0,0
01495BF80A2A,0,1
014BF1790D44,2,1
015480E09FE1,0,0
0158970BC5D2,2,0
015F4D9DE71D,2,0
016451AABDF0,0,0
016A403802E8,0,1
016B35EDC7B8,0,0
017FB36B3B0C,1,1
018311715B91,1,0
018A7B9DA61B,0,1
0191274639A4,0,1
019B73E2A599,0,0
019BDC9DF7CD,0,0
01A53D28E44A,0,1
01ACD1326679,0,1
01B3A57AB13D,2,1
01B44DA627B6,2,1
01BBB8075DC9,0,1
01BCD3BFBAD0,2,1
01C53183305A,0,0
01D017390DBC,1,0
01D04F3DF6CA,2,0
01DB053153E0,1,1
01DF3961CF90,0,0
01E81DCE4F59,0,1
01F69867D1BE,2,1
01FC4BCFD7CB,0,0
01FE696E9CC2,2,0
0201B7877AD3,0,0
0214F87B86C3,2,0
021823AF0384,0,1
021B23C3C2C6,1,1
021B2E55384C,1,1
0222CB9AEFFC,0,0
0222E19C41BC,1,1
022585D2819F,0,0
0228C92DFDF2,0,1
022DD0BE5A38,0,0
022EE73C4244,2,1
0230E2A9E656,1,1
02322AA38631,2,0
0242719E9969,0,1
025453135C64,0,0
0257D9E42247,0,1
02580BFD0105,0,0
026D034610CE,2,0
026DB1116D4D,0,0
028E0CD5DACE,2,1
02A3E737A10F,0,1
02AEBAE6EC47,2,0
02B12E0E4025,0,0
02B6F6D24B6F,2,0
02C172EEAFE4,0,0
02C49FD99F7D,2,1
02CDFA415350,0,0
02D500B937EB,0,0
02DE2BC0EC95,0,0
02DE71CCBB4B,2,1
02EB601F0107,0,0
02EE98C9DB32,0,0
02F4114B1F63,2,1
03004B5AD2CC,1,0
03036B87A396,1,0
0309F61A6F1A,1,0
030A70B9F194,0,1
