scenario,null_status,n,method,calibration,n_replicates,n_rejections,rejection_rate,ci_low,ci_high
conditional_null,true,200,conditional_g2,stratified_permutation,1000,56,0.056,0.043374813385441996,0.07202334814973096
conditional_null,true,200,stratified_mean_disparity,stratified_permutation,1000,53,0.053,0.04074650524859452,0.06867461683749176
conditional_null,true,200,stratified_regression_lrt,stratified_permutation,1000,48,0.048,0.036393301020807914,0.06306608865013393
conditional_null,true,200,marginal_mean_ttest,asymptotic,1000,995,0.995,0.9883490446266249,0.9978624644726756
conditional_null,true,200,stratified_regression_ftest,asymptotic,1000,54,0.054,0.04162131372306272,0.06979215484605245
conditional_null,true,500,conditional_g2,stratified_permutation,1000,49,0.049,0.03726103464736061,0.06419070150661013
conditional_null,true,500,stratified_mean_disparity,stratified_permutation,1000,42,0.042,0.031220885546165443,0.05628442522660306
conditional_null,true,500,stratified_regression_lrt,stratified_permutation,1000,41,0.041,0.030364971082098312,0.055147993207641306
conditional_null,true,500,marginal_mean_ttest,asymptotic,1000,1000,1.0,0.996173241514445,1.0
conditional_null,true,500,stratified_regression_ftest,asymptotic,1000,39,0.039,0.028658960904180478,0.05286931041950135
conditional_null,true,2000,conditional_g2,stratified_permutation,1000,46,0.046,0.03466249276326498,0.06081220394161907
conditional_null,true,2000,stratified_mean_disparity,stratified_permutation,1000,56,0.056,0.043374813385441996,0.07202334814973096
conditional_null,true,2000,stratified_regression_lrt,stratified_permutation,1000,55,0.055,0.04249742737476844,0.07090838767737563
conditional_null,true,2000,marginal_mean_ttest,asymptotic,1000,1000,1.0,0.996173241514445,1.0
conditional_null,true,2000,stratified_regression_ftest,asymptotic,1000,55,0.055,0.04249742737476844,0.07090838767737563
mean_dependence,false,200,conditional_g2,stratified_permutation,1000,142,0.142,0.12173404205455421,0.16500591702110326
mean_dependence,false,200,stratified_mean_disparity,stratified_permutation,1000,224,0.224,0.1992434366609871,0.2508689340230394
mean_dependence,false,200,stratified_regression_lrt,stratified_permutation,1000,230,0.23,0.20497969372023053,0.2570867558619693
mean_dependence,false,200,marginal_mean_ttest,asymptotic,1000,1000,1.0,0.996173241514445,1.0
mean_dependence,false,200,stratified_regression_ftest,asymptotic,1000,234,0.234,0.20880800256185078,0.2612278329524646
mean_dependence,false,500,conditional_g2,stratified_permutation,1000,254,0.254,0.2279970750986118,0.2818856900762813
mean_dependence,false,500,stratified_mean_disparity,stratified_permutation,1000,566,0.566,0.5350866438157509,0.5964082240641557
mean_dependence,false,500,stratified_regression_lrt,stratified_permutation,1000,601,0.601,0.5703182462412869,0.6309087485446309
mean_dependence,false,500,marginal_mean_ttest,asymptotic,1000,1000,1.0,0.996173241514445,1.0
mean_dependence,false,500,stratified_regression_ftest,asymptotic,1000,593,0.593,0.5622513714741374,0.6230368514475494
mean_dependence,false,2000,conditional_g2,stratified_permutation,1000,907,0.907,0.8874087442345036,0.9234762743582547
mean_dependence,false,2000,stratified_mean_disparity,stratified_permutation,1000,998,0.998,0.9927371921365079,0.9994513564118793
mean_dependence,false,2000,stratified_regression_lrt,stratified_permutation,1000,999,0.999,0.9943574414020421,0.9998234536293739
mean_dependence,false,2000,marginal_mean_ttest,asymptotic,1000,1000,1.0,0.996173241514445,1.0
